# Generated from Radheef (radheef.siyamex.com) by scripts/build_definitions.py — do not edit by hand.
ހަ	(ނ) ހަދޯނި
ހަށިހެޔޮކަން	(3) ހަށިގަނޑު ހެޔޮވަރަށް ފަލަކަން (4) ރޫފަ ރަނގަޅުކަން
ހަށިހެޔޮވުން	(4) ރޫފަ ރަނގަޅުވުން
ހަށިބުރަ	ބަރުހެލި
ހަށިބުރަކަން	ބަރުހެލިކަން
ހަށިބުރަވުން	ބަރުހެލިވުން
ހަށިކާހިސާބަ	) އިސްކޮޅު ޖެހޭހިސާބު
ހަށިކާތަން	(2) އިސްކޮޅުކާތަން
ހަށިކެއުން	(2) އިސްކޮޅުކެއުން
ހަށިކޮޅުބުރަފުޅުވުން	" ހަށިބުރަވުން" މިބަހުގެ އެންމެ މާތްގޮތް
ހަށިކޮޅުފަސޭހަފުޅު	" ހަށިފަސޭހަ" މިބަހުގެ އެންމެ މާތްގޮތް
ހަށިކޮޅުފަސޭހަފުޅުކަން	" ހަށިފަސޭހަކަން" މިބަހުގެ އެންމެ މާތްގޮތް
ހަށިކޮޅުފަސޭހަފުޅުވުން	" ހަށިފަސޭހަވުން" މިބަހުގެ އެންމެ މާތްގޮތް
ހަށިކޮޅުފުރާނޭވާފުޅުލެއްވުން	" ހަށިފުރާ ނޭވާލުން" މިބަހުގެ އެންމެ މާތްގޮތް
ހަށިވައު	(2) ތުންމަތީ ރިޔަލުގެ ދަނޑި ހިފެހެއްޓުމަށް ދަނޑީގެ ކުރީގައި ޖަހާ ވައު
ހަށިފަސޭހަ	(3) މަޖާޒު: ހިތްފަސޭހަ
ހަށިފަސޭހަކޮށްލުން	މަޖާޒު: ހިތްފަސޭހަކޮށްލުން
ހަށިފަސޭހަވުން	(3) މަޖާޒު: ހިތްފަސޭހަވުން
ހަށިފުރާނޭވާލުން	(2) ދިގުކޮށް ފުންކޮށް ނޭވާއެއް ލުން
ހަށިފުރާނޭވާލެއްވުން	" ހަށިފުރާ ނޭވާލުން" މިބަހުގެ މާތްގޮތް
ހަށިފޮޅައިލުން	(3) މަޖާޒު: ކުރިމަތިވެފައިވާ ދަތިތަކަކުން ސަލާމަތްވެގަތުން
ހަށިފޮޅައިލެއްވުން	" ހަށިފޮޅައިލުން" މިބަހުގެ މާތްގޮތް
ހަށިލުއި	ބުރަހެލިކަން ނެތް
ހަށިލުއިކަން	ބުރަހެލިކަމެއް ނެތްކަން
ހަށިލުއިވުން	ބުރަހެލިކަމެއް ނެތުން
ހަށިގަނޑު	(2) މުޅިއިންސާނާ ނުވަތަ މުޅި ޙައިވާނާ
ހަށީފެން	(2) ފަޑަ
ހަށުގަނޑަ	) ހަށިގަނޑު
ހަނކާނ	(2) ސަންގު
ހަނކިބޮލި	) ސައްކެޔޮ ބޮލިޒާތުގެ ބޮއްޔެއް
ހަނދަ	) ހަނދު
ހަނދަރަބޮލި	) ސަނދަރަބޮލި
ހަނދަވަރަކޮކާ	) ކޮކާހަނދުވަރު
ހަނދަމަގަ	) ހަނދުހިނގާ އުސްދަނޑި
ހަނދަފަޅަ	(2) ހުޅެވިހަނދު
ހަނދަފަޅި	) ހަނދުފަޅި
ހަނދަލަ	(2) ކޮރަކައްޔާއި ހަންޖާ ދެމެދުގެ ހަނދިމަސް
ހަނދަލާގެ	) ހަނދުގެ
ހަނދާނީހަދިޔާ	ކަމެއްގެ ހަނދާން ދެމެހެއްޓުމުގެ ގޮތުން ދޭއެއްޗެއް
ހަނދާނީލިޔުން	ކަމެއްގެ ހަނދާނެއްގެ ގޮތުން ދޭ ސަނަދު ނުވަތަ ސެޓުފިކެޓް ފަދަ ލިޔުން
ހަނދާން	(2) ކަމެއް ނުވަތަ އެއްޗެއް ހިތަށްގެނައުމުގެ ބާރު
ހަނދާން ބެހެއްޓުން	އެއްޗެއް ހިތުންފިލައި ދިޔަނުދިނުން
ހަނދާންނެތުން	(2) ހިތުން ފިލައިދިއުން
ހަނދާންކުރުން	(4) ހިތުގައި ބެހެއްޓުން
ހަނދާންވުން	(3) ވިސްނުމަށް އައުން
ހަނދި	(2) ރާނާ އުވަޖަހަން ގެންގުޅޭ އާލަތެއް
ހަނދިއެޅުން	އަތްބުޑު އުވަ ޖެހުމުގައްޔާއި ތަޅުންއެޅުމުގައި ހަނދިން އޮމާން ކުރުން
ހަނދިވަޅު	ނ
ހަނދިވާލި	މީގެނަގޫފަތް ދިގުވާނެއެވެ
ހަނދު	(2) ތަރިއެއްގެ ވަށައިގެން ދައުރުކުރާ ފިޔަޖަހާ ތަރިއަކުން އަލިކަން ލިބިގެން އެތަބާވާ ތަރިއަކަށް އަލިފޮނުވައިދޭ ތަރިއެއް
ހަނދުބަލާރޭ	ހަނދުމަހުގެ ތިރީސްވިލޭރޭ
ހަނދުބަލާމަސް	ހިނގާމަހުގެ ކުރިޔަށް އޮންނަ ހަނދުމަސް
ހަނދުބަޑި	(3) މެދުވަރުގެ ހަރުމަތީބަޑި
ހަނދުބެލުން	(2) ހަނދުމަހަށް ފެށުން
ހަނދުބޮލި	) ސަނދަރަބޮލި
ހަނދުކަލާބޮލި	) ސަނދަރަ ބޮލި
ހަނދުކޭތަ	އިރާއި ހަނދާއި ބިން އެއެއްޗެހީގެ ދަތުރުކުރާ މަގުގައި ދަތުރު ކުރަމުން ގޮސް އެއްދަނޑިއަކަށް ދިމާވާ ހިނދު ހަނދަށްއެޅޭ ބިމުގެ ހިޔަނި
ހަނދުއަނެ	) ހަނދުގެ
ހަނދުވަންހަ	ދިވެހީން މިދަރިކޮޅަށް "ތީމުގޭ ދަރިކޮޅު" އަދި "މަލެއި" ދަރިކޮޅު މިހެންވެސް ކިޔައެވެ
ހަނދުވަރަސުރާ	) ހަނދުވަރު މޫސުމުގައި ބޮޑެތިކަން ނެލި ބޭނުމަށްކުރާ މަސްވެރިކަން
ހަނދުވަރީ	ކޯނިކޯންޏަށް ކުދިކުދި މާތަކެއް އަޅާ ގަހެއް
ހަނދުވަރީމާ	ނަމަވެސް މީގެ ކުލައަކީ ރީނދޫ ކުލައެވެ
ހަނދުވަރީގަސް	(2) ހަނދުވަރީމާ އަޅާގަސް
ހަނދުވަރު	ހަނދުން ލިބޭއަލި
ހަނދުވަރު ކަކުނި	ހަނދުވަރު ރީތި ރޭރެއަށް ގޮނޑުދޮށަށް ނުކުމެއުޅޭ ކަކުނިގަނޑު
ހަނދުވަރު ދިނުން	ހަނދުގެ އަލިކަން ދުނިޔެއަށް އެޅުން
ހަނދުވަރުކުރަފި	މަޖާޒު: ހަނދުވަރު ރީތި ރޭރޭ ސަކަޖަހާން މަގުމަތީގައި ނުކުމެ އުޅޭ ޒުވާނުން
ހަނދުވަރުމަތި	ނ
ހަނދުވަރުމޫސުން	(1) އިރާކޮޅު ހަނދުވަރު ރީތިކޮށް އޮންނަ ދުވަސްވަރު (2) ހަނދުމަހުގެ ހަވަނަރޭން ފެށިގެން އަށާރަވިލޭރެއާއި ދެމެދު
ހަނދުވަރުފޮއި	ހަނދުވަރު މޫސުން
ހަނދުވަރުގޮޅާ	ގިނައިން މިނުކުމެ އުޅެނީ ހަނދުވަރުދޭ ރޭރެއަށެވެ
ހަނދުވެނިފާންކަން	) ހަނދުވަރުގެ އަލިކަން
ހަނދުމަ	ނ
ހަނދުމަނެތުން	ހަނދާންނެތުން
ހަނދުމަކުރުން	ހަނދާން ކުރުން
ހަނދުމަވުން	ހަނދާންވުން
ހަނދުމަސް	(2) މުޙައްރަމް މަހުން ފެށިގެން ޙައްޖުމަހަށް ނިމޭ އަހަރުގެ ކޮންމެ މަހެއް
ހަނދުފަޅި	(2) ހަނދުފަޅީގެ ކުރެހުން އަޅައިފައި ހުންނަ ގުޑި
ހަނދުފަޅިބިބީ	މަހުގެ ނިގޫފަތުގެ ބުޑުދޮށް ހުންނަނީ ކަޅުކުލައިގައެވެ
ހަނދުފަޅިއެޅުން	ގުޑީގައި ހަނދުފަޅި ކުރެހުން
ހަނދުލަނގަ	) ހަނދުފަޅި
ހަނދުގެއެޅުން	ހަނދުގެ ވަށައިގެން ބުރު އުފެދުން
ހަނދެއަނެ	) ހަނދުގެ
ހަނދޭގިރި	(2) ވަޒީރުއްދާ ޚިލިއްޔާ
ހަނދޭގިރިބުރުރުމާ	ބޮލުގައި އަޅާރުޜާލުގެ ތެރެއިން ކަންހުދުކޮށް ހުންނަ ބާވަތެއް
ހަނދޭގިރިކަން	(2) ހަނދޭގިރިޔަކާ ޙަވާލުވާ ކަންތައް
ހަނދޮ	) ހަނދު
ހަނގާ	) ބުޅާކުޅުވާ ފިހިގަނޑު
ހަނގާކުރުން	(3) ސަމާސާކުރުން
ހަނގު	މިބޭކަލުން ތިއްބަވަނީ ދިވެހިރާއްޖޭގެ ރަސްގެފާނުގެ ލަޝްކަރުގެތެރޭގައެވެ
ހަނގުހަނޑޫ	މިންވަރަކީ ފޯޔަކު ބާރަނާޅިއެވެ
ހަނގުން	(2) ހަނގުބޭކަލުން
ހަނގުންފަރާ	ވަނަ އަހަރުގައެވެ
ހަނގުރާމަ	(2) މިސައިލާއި ރޮކެޓް ބޭނުންކޮށްގެން އެއްޤައުމު އަނެއް ޤައުމާ ކުރާ ހަނގުރާމަ
ހަނގުރާމަބިން	(2) ހަނގުރާމައިގެ މައިދާން
ހަނގުރާމަބެރު	ހަނގުރާމަ ފަށަންވީމާ ޖަހައި އުޅުނުބެރު
ހަނގުރާމަވެރިޔާ	ހަނގުރާމަކުރާމީހާ
ހަނގުބޭކަލުން	ކުރީގެ ޒަމާނުގައި ދިވެހިރާއްޖޭގެ ރަސްގެފާނުގެ ލަޝްކަރު
ހަނގުކަން	(2) އޮޅިމެދުކަމެއް
ހަނޑަހަ	) ހަނޑަސް
ހަނޑަސް	(3) ކަކުނީގެ ދާނަ ދަތްގަޑު
ހަނޑަސްބުރި	ގިފިލީގައި ހާޖިތަށް ދިއުމަށްޓަކައި ވަކިކޮށް ފައިވާބައި
ހަނޑަސްތުން	ކާޅަށް އެއްޗެއް ނުކެވޭނޭހެން ތިރީތުނބަށް މަތީތުން ހެރީމާހުންނަގޮތް
ހަނޑަސްތުންވުން	(1) "ހަނޑަސްތުން" ބަލާ! (2) މަޖާޒު: ނުގަބޫލުވެގެން އަނގައިން ނުބުނުން
ހަނޑަސްގެކޮޅު	) އަވަހާރަ ގަނޑުވަރުގެ ހަނޑަސްބުރި
ހަނޑުކަނޑާލަވަ	ދަނޑި ބެރުގެ އަރުވައިބާލާ ލަވަތަކުގެ ތެރެއިން ލަވައެއް
ހަނޑުފޮޅާނާށިގަނޑު	ބޮޑެތިކާށި ދިގަށްކީހައި ބޭރުމަށާއި އޮފުއަރުވައިފައި އޮންނަނާށިގަނޑެކެވެ
ހަނޑޫ	މިއާއްމު ގޮތެއްގައި ބޭނުންކުރަނީ ބަތްކައްކާށެވެ
ހަނޑޫކަނޑާވަން	ހަނޑުސާފުކުރާން ލަކުޑީން ހަދައިފައި ހުންނައެތި
ހަނޑޫކަނޑާމޯ	މިހުންނަނީ ދެކޮޅު ފަލަކޮށް މެދުގައި ހިފާތަން ހިމަކޮށް ކުރެދިންލިޔެފައެވެ
ހަނޑޫކެނޑުން	ހަނޑޫވަނަކަށް އަޅައިގެން މޯލުންތަޅައި ސާފުކުރުން
ހަނޑޫމުގުރާދަތި	ހަނދޫ ފަދަތަކެތި ހިމުން ކުރުމަށް މައުދަނީ އެއްޗަކުން ހަދައިފައިހުންނަ އާލަތެއް
ހަނޑޫފޮޅި	(މަލިކު) ބަތްޕޮޅި
ހަނޑޫފޮޅުން	ބުރި ހަނޑުލާއި މޫހަނޑޫލާ ވަކިވާގޮތް ހެދުން
ހަނޑެލެ	) ހަނޑޫ
ހަނަ	) ހަނު
ހަނަ އަނބުރައިލުން	ތަޅައިގަތްގަތުން ކުއްޖެއް ނުވަތަ މީހެއް ނުވަތަ އެއްޗެއްގެ ދުވަސް ދުއްވައިލުން
ހަނަމި	) ކަށިމަތި
ހަނަފަސް	(2) ތެތްކަމެއްނުވާ ހިކިފަސް
ހަނަފަސްބިން	(3) ގަސްހެދުމުގެ ބާރު ނުހުންނަ ތެތްކަންނެތް މަޑު ފަސްގަނޑު
ހަނަފަސްކަން	(2) ތެތްކަމެއްނެތި ފަސްހިކޭކަން
ހަނަފަސްވުން	(2) ތެތްކަމެއްނެތި ފަސްހިކުން
ހަނަދޭސްވަރަ	) މޮޅުގަދަކަންފޯރާ
ހަނާ	(4) ދުރުގައި ހުރެގެން ކައިރިޔަށް އައުމަށް ކުރާ އިޝާރާތް
ހަނާހިނދުން	ދިޔާއެއްޗެއްގެ ތެރޭގައި ހުންނަ އޮލަ އެތިކޮޅު އަޑިޔަށްފޭދުން
ހަނާހިންދުން	ދިޔާއެއްޗެއްގެ ތެރޭގައި ހުންނަ އޮލަ ހިމުންބައި އަޑިޔަށް ފޭދެންދެން ބެހެއްޓުން
ހަނާހުނި	(ބދ
ހަނާހުނިކުރުން	ހަލާކުކޮށް ނެތްތައިލުން
ހަނާހުނިކެނޑުން	ތަޅައި ކުދިކުދި ކުރުން
ހަނާހުނިވުން	(2) މާބޮޑަށް އަނިޔާވުން
ހަނާކަފަ	މިގަހުގެ ފަތްވެސް އޮށްކަފަ ފަތަށްވުރެ ކުދިވާނެއެވެ
ހަނާކުރިހަވާދު	ހަނާކޮށްފައިހުރި ހަވާދު
ހަނާކުރިމަސް	ނާނދާ ވަރަށް ހަނާކޮށްގެން މުގުރައި މިހަވާދުލައިގެން ކައްކާ މަސް
ހަނާކުރިފޯއް	މުރަނަވީމާ އުނދުންމައްޗަށް އުދައިގެން މުރަނަކޮށްފައި ހުންނަ ފޯއް
ހަނާކުރުން	ހިމުންކޮށްގެން ހިކިކޮށް މަހުގައި ރިހަކެއްކުން
ހަނާކެޅައުން	) ހަނާކުރުން
ހަނާއެޅުން	(2) އަތުގައި އޮތް ކޮންމެވެސް އެއްޗަކުން މިފަދަ އިޝާރާތެއްކުރުން
ހަނާވުން	(2) މަޖާޒު: ފުރާނަހުރި އެއްޗެއްސަށް މަރުވުންފަދަ ގެއްލުން ލިބުން
ހަނާފާޅަ	) ދޭދިނުން
ހަނާދޭސަ	) (1) މީހަކުދޭ އެއްޗެއް (2) މީހަކު ދިން އެއްޗެއް
ހަނި	(3) ފުޅަލުގެ އިދިކޮޅު
ހަނިހަނި	(2) ވަރަށް ހަނި
ހަނިހޯސާ	މިއީ ހުދެން މުގުރާމުގެ އެންމެ ކުދިބާވަތެވެ
ހަނިކަން	ފުޅާމިން ކުޑަކަން
ހަނިވައް	) ހެމަވަތި
ހަނިވަތް	(2) ތިރިމަޅުމަތި
ހަނިވުން	މިސާލު: ވާހަކަދެއްކުމުގެ ދާއިރާ ވަރަށް ހަންޏެވެ
ހަނިލުން	) ހަނުލުން
ހަނު	) ހިމޭން
ހަނުހިމޭން	(3) އަނގައިން ނުބުނެ މަޑުންހުންނަ
ހަނުހިމޭންކަން	(3) އަނގައިންނުބުނެ މަޑުންހުންނަކަން
ހަނުހިމޭންވުން	(3) އަނގައިންނުބުނެ މަޑުންހުރުން
ހަނުހުރުން	(2) އަނގަ މަޑުކޮށްގެން ހުރުން
ހަނުކަކުނި	ތޮށިގަނޑު ހުންނާނީ މަޑު އަޅި ކުލައިގައެވެ
ހަނުކިޔާލަވަ	(2) މަޖާޒު: ޖަމާޢަތެއްގެ ބަޔަކު ހިތްހިތަކަށް އުޅޭއުޅުން
ހަނުކުނޑި	ހަނުލާއިރު ނެގޭ ކުނޑި
ހަނުއެނބުރުން	މަޖާޒު: ގައިގައި ތަޅައިގަތީމާ ބިންމައްޗަށް ވެއްޓި އެނބުރުން
ހަނުތެޅުން	ހަނުގެ ހިލަ ބުރުގަނޑު ތައްޔާރުކުރުން
ހަނުލުން	ވަޅި އާއި ފުރޯފަދަ ތަކެތި ހަނުން ތޫނުކުރުން
ހަނުގާގަނޑު	ހަނުލާއިރު ހަނުގައި ޖައްސާ ގާ ގަނޑު
ހަނޮ	2
ހަނޮ އެނބެރުން	) ހަނޯބެރުން
ހަނޯބެރުން	މިބަސް ބޭނުންކޮށް އުޅެނީ އަރާރުންވުމުގެ ތެރޭގައި ނުވަތަ ކޮންމެވެސް ހަމަނުޖެހުމެއްގެ ތެރޭގައެވެ
ހަން	(7) ހުރަސް
ހަންހާރަ	ލޯބި
ހަންހާރަކުރުން	ލޯބިކުރުން
ހަންހާރަވުން	ލޯބިވުން
ހަންހާރަވެތި	(2) ލޮބުވެތި
ހަންހާރަވެތިކަން	(2) ލޮބުވެތިކަން
ހަންނެގުން	(2) ދަތުރުކުރާއިރު ކަނޑުމަތިން ނުރައްކަލެއް ދިމާވެގެން އެކަން އެންގުމަށް ނިޝާނެއް އުފުލުން
ހަންނޮޅުން	(2) ގައިން ފޮޅިފައި ހުންނަ ހަންކޮޅުކޮޅު ނެއްޓުން
ހަންބޯދި	ފޮނިޔަމަސް
ހަންކަނޑައިލުން	(3) ނުކުޅަދާނަވަރުގެ މަސައްކަތެއްފަދަ ކަމެއް ޖެއްސުން
ހަންކަން	) ގިޑިގެ
ހަންކު	) މުފުރަދު ބޭސް
ހަންކެނޑުން	މަޖާޒު: މަސައްކަތްކުރުމުގައި ބުރަ އުފުލި މިންވަރު ބަޔާންކޮށްދިނުމަށް ބުނެއުޅޭ ބަހެއް
ހަންކެތޯޓު	) ގާހައް
ހަންކޮސޮޅިޖެހުން	) ހަންޓޯޓޯވުން
ހަންމަޅި	(މަލިކު) ގިރުނބާ
ހަންމަތަ	(2) މައިތިރި
ހަންމަތަކުރުން	(2) މައިތިރިކޮށް ހުއްޓުން އަރުވައިލުން
ހަންމަތަކެޑުން	) ހަންމަތަކުރުން
ހަންމަތަވުން	(2) މައިތިރިވުން
ހަންމާލާ	މޫދުގައި ވެލިއުފުލާން ގެންގުޅޭ ހަތަރެސްކަން އެއްޗެއް
ހަންމުށި	(2) މީހުންނަށް އަދަބުދޭން ގެންގުޅޭ އެތި
ހަންމޯ	) ބޯބޯ
ހަންފީރު	ލަކުޑިކޮޅެއްގައި ކަށިމަޑީގެ ހަންތަތްކޮށް ހިއްކައިގެން ލަކުޑިގާނަން ގެންގުޅޭ އާލާތް
ހަންފީމިޔަރު	މި ވައްތަރުވާނީ ފާނަޔާއެވެ
ހަންފޮޅުން	ގައިގެހަން މަރުވެ އެތިއެތިކޮޅަށް ނެއްޓުން
ހަންދަ	(2) ސަނދަރަބޮލި
ހަންދަނިޔަފަތި	) ސަނދަރަބޮލި
ހަންދަރު	މީގެ ބަރުދަނަކީ ސަތޭކަ ބާރަ ރާތަލެވެ
ހަންދަމަތި	ސަނދަރަބޮލި
ހަންދު	) މެންދުރު
ހަންދުބޮލި	(2) ސަނދަރަބޮލި
ހަންދެމުން	(2) މަހުން ހަން ވަކިކުރުން
ހަންގަނޑު	އަދި އެކްސްޕޯޓް އިންޕޯޓް ބަލަހައްޓާ ފޮތަކީ ވެސްމި އެވެ
ހަންގަނޑުތެޅުން	ބެރުޖަހަން ދަސްކުރާން ހަންގަނޑުގައި ޖެހުން
ހަންގަނޑުޖެހުން	(3) މަޖާޒު: ދުއްރައިން ތެޅުން
ހަންގިލި	(މަލިކު) ކިހިލިފަތި
ހަންގިސްކާރަ	ނަކަތްތެރީންގެ ޚިޔާލީ ޒަމާނެއް
ހަންޑަވާޅި	މަޖާޒު: އެއްވެސް ކަމެއް ކުރާން ނޭނގޭ ތާކުންތާކު ނުޖެ ހޭމީހާ
ހަންޑި	ޚިޔާލީ އަންހެން ފުރޭތައެއް ނުވަތަ ޖިންނިއެއް
ހަންޑި ހުނިގޮނޑި	ރަތް ރީނދޫ ކުލައިގެ އެއްޗެކެވެ
ހަންޑިހަތް	ހަންޑި ކުޑަ
ހަންޑިހެއްލުން	ގިނަފަހަރަށް މިކަންތައްވަނީ ހުވަފެނެއްގެ ތެރޭގައެވެ
ހަންޑިހެލެނބެލި	މިއީ ހެލެނބެލި ފަތްވައްތަރަށް ފަތް ހުންނަ ގެދަގަހާ އެއްވަރަށް ހެދޭ ވިނައެވެ
ހަންޑިބުރެ	) ހަންޑިފިލާ
ހަންޑިބުޅި	) ކީސްފިލާ
ހަންޑިކަށި	) ފޮނިލޯލި
ހަންޑިކަންފަތް	(2) ފީވަމުންދާ ލަކުޑިގަނޑުން ކަންފަތެއްގެ ބުރުގައި ފަޅާ އެއްޗެއް
ހަންޑިކަރުނަ	(2) ހަންޑިއަސް ބިސްއަޅާން ބަދަނެއްގެ ސިފައިގައި އެސޮރުހަދައިފައި އޮންނަ އެއްޗެއް
ހަންޑިކައްޓަލަ	ވިހަލަގޮނޑި
ހަންޑިކާށި	މީގެ ގަސްގަނޑުގެ ކުލައަކީ މަޑުފެހިކުލައެވެ
ހަންޑިކާނށި	) ހަންޑިކަށި
ހަންޑިކުނާފަތް	(މަލިކު) ކީސްފިލާ
ހަންޑިކުންނާރު	މީގައި ކުދިކުދި އޮށްތަކެއް އަޅައެވެ
ހަންޑިކުރާ	ގޮދަން ފުކެއްހެން ހުންނަ ތަންކޮޅެއްގައި ނަރުކޮޅެއްފަޅައިފައެވެ
ހަންޑިކުޑަ	(3) ބުޅާކަންފަތް
ހަންޑިކެކުރި	) ދާގަނޑުކެކުރި
ހަންޑިކެޔޮ	ކަންދޮޅުފަތްހެން ފަތްހުންނަ ކަނބޯވައްތަރުގެ މާގަނޑެއް އަންނަ ގަހެއް
ހަންޑިކޮކާ	މިއީ ފިޔައިގައި ރަތްތިކިތަކެއް ހުންނަ ހުދުކުލައިގެ ކުޑަކޮކާލެކެވެ
ހަންޑިއަސް	ހަންޑި ހުނިގޮނޑި ޒާތުގެ އެއަށްވުރެ ބޮޑު ދިރޭ އެއްޗެއް
ހަންޑިއުޅާ	އިހުގައި މިރާއްޖޭގެ އަންހެނުން އަޅައިގެން އުޅުނު ބިއްލޫރި ނުވަތަ ތަށިމުށި އުޅައެއް
ހަންޑިވޮށް	ބައެއް ރަށްރަށުގެ ވަލުތެރޭގައި ހެދޭ ބާވަތެއްގެ ގަހެއް
ހަންޑިމައު	) މޫދުމާ
ހަންޑިމޮޔަ	މިމޮޔަވުމުގައި ހުނުން ގިނަވާނެއެވެ
ހަންޑިފަން	(2) މޭއްޔަފަން
ހަންޑިފިއްލުން	މަގުއޮޅުން ގިނައިން މިކަންތައް ވަނީ ރޭގަނޑުއެވެ
ހަންޑިފިލާ	) ހަންޑިކެޔޮ
ހަންޑިފޮޅު	ފެންއެރިފައި ހުންނަ ބިހިތަކެއް
ހަންޑިފޯލި	މޭއްޔަފޯލި
ހަންޑިދޮންކެޔޮ	) ހަންޑިކެޔޮ
ހަންޑިލުނބޯ	މޭއްޔަލުނބޯ
ހަންޑިޓައްކެނޑުން	މިއަޑުއިވޭވަކި ދިޜާއެއް ފާހަގައެއް ނުކުރެވޭނެއެވެ
ހަންޓޯޓޯ	މޫނުގައި ރޫޖެހި އަނގަ ވަޅުވަދެފައިވާވުން
ހަންޓޯޓޯވުން	އަނގަ ވަޅުވަނުން
ހަންޕަކަޕަކަ	(2) ވައިގުޑީގެ ރާރާގެއަޑު
ހަންޖާ	ފުރާދުއްވާ ތަކެތީގެ ރިޔާނަގާ ވައު
ހަންޖާބުޅި	(2) ހަންޖާ އަޅާ ބުޅި
ހަންޖާކެވުން	ފަރުމާނުގައި ހަންޖާ އެއްސުން
ހަންޖާއެޅުން	(2) ހަންޖަލެއްގެ ބޭނުމުގައި ވަލެއް އެނބުރުން
ހަންޖާމުގޫ	ހަންޖާވަލުގެ ފަހަތުކޮޅު
ހަންޖެހުން	(3) ވިދުހަންޖެހުން
ހަރަ	) ހަރު
ހަރަހެރި	(2) ހަރުދަނާ
ހަރަކާތް	(4) އިޝާރާތް
ހަރަކާތްތެރި	(4) ކަންކުރެވޭ
ހަރަކާތްތެރިން	(4) ކަންކުރެވޭ މީހުން
ހަރަކާތްތެރިކަން	(4) ކަންކުރެވޭކަން
ހަރަކާތްތެރިވުން	(4) ކަންކުރެވުން
ހަރަކާތްތެރިޔާ	(4) ކަންކުރެވޭ މީހާ
ހަރަވަޅި	) ހަރުވާޅު
ހަރަވާޅު	(މަލިކު) ހަރުވާޅު
ހަރަމަލި	) މޭވާފަދަ ތަކެތި ގަހުގައި ވަރިވަރިޔަށް އަންނައިރު ހަރުވާން ކައިރިވެފައި ހުންނަވަރި
ހަރަދު	) ބިލެތްހަވާދު
ހަރަގަނޑަ	) ހަރުގަނޑު
ހަރަގަނޑޮ	) ހަރުގަނޑު
ހަރާނޑާ	) ހަރުގަނޑު
ހަރާން	(3) ޙަރާމު
ހަރާންބަޅުމަސް	(2) އެއްގޮތަކަށްވެސް ނެތްކަން ދެއްކުމުގެ ގޮތުން ބުނެއުޅޭ ބަހެއް
ހަރާންބަކަރި	މަޖާޒު: ނަހަލާލުދަރި
ހަރާންކަން	ދީނުގައި މަނާކަން
ހަރާންކަންތައް	ދީނުގައި މަނާ ކަންތައް
